organization,job_position,job_code,location,summary,roles_responsibilities,required_skills,position,years_of_experience,contract_length,work_auth,certifications,benefits,pay_rate,reward_rate
Ascension Health,RN Emergency Room,ASC-8864|AH-HHC-92267,onsite,"['Department: Emergency Department', 'Shift Timing:  Night Shift  19:00 - 07:30 Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Emergency Room RN', 'RN Registered Nurse Emergency Room']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), Pediatric Advanced Life Support (PALS) Certification, Trauma Nursing Core Course (TNCC), National Institutes of Health (NIH)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,RN Critical Care-SF,ASC-8858|AH-HHC-69258,onsite,"['Department: Medical ICU', 'Shift Timings: Night Shift 19:00- 7:30 Hours ']","['Providing nursing care to acutely or critically ill patients with an assigned unit or clinic;', 'Implementing medical care plans;', 'Directing and supervising the patient care provided by nursing personnel assigned to the unit;', 'Maintaining standard unit activities in the absence of the Head Nurse; and ', 'Performing other related duties as assigned/required.']","['RN Critical Care-SF', 'RN Registered Nurse Critical Care', 'Traveler RN Critical Care-SF']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), National Institutes of Health (NIH) , Trauma Nursing Core Course (TNCC), Clinical practice improvement (CPI)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,Surgical First Assist,ASC-8827|AH-HHC-73672,onsite,"['Department: ST Joint Replacement Institute', 'Shift Timings: Early Morning Shift 06:45 - 17:15']","['Position patient to give best exposure for surgical procedure, using stabilizing equipment when necessary, while maximizing patient comfort and safety.', 'Provide visualization of the operative site using appropriate method, including manipulation of tissue and materials, retraction, sponging, suctioning and irrigation.', 'Utilize appropriate technique to achieve temporary and permanent hemostasis.', 'Assist with body plane closure, application of wound dressings and securing of drainage systems.', 'Assist in room clean up and the removal of the soiled case cart, supplies, and trash from OR room as needed at the completion of the surgical case.', ""Participate as a surgical team member in the preparation of the surgical suite according to surgeon's preference cards with appropriate instruments, resources and supplies.""]","['Surgical First Assist', 'Traveler Surgical First Assist']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
5.21 /hr","Reward Rate:
USD
$
5.21 /hr"
Ascension Health,RN Medical/Surgical,ASC-8387|AH-HHC-4811,onsite,"['Department: Respiratory Intermdte Care', 'Shift Timing: Night Shift 19:00 - 07:30']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'RN Medical / Surgical', 'Registered Nurse > Registered Nurse Nursing']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Certified Principal Investigator (CPI)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
4.98 /hr","Reward Rate:
USD
$
4.98 /hr"
Ascension Health,RN Medical/Surgical,ASC-8424|AH-HHC-8363,onsite,"['Department: Renal Dialysis Unit', 'Shift Timing: Morning Shift 06:45 - 19:15']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'RN Medical / Surgical', 'Registered Nurse > Registered Nurse Nursing']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH) , Certified Principal Investigator (CPI)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
5.17 /hr","Reward Rate:
USD
$
5.17 /hr"
Ascension Health,RN Step Down,ASC-8232|AH-HHC-59228,onsite,"['Department: Stepdown Intermediate Care', 'Shift Timings: Night shift 19:00-7:30 ']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN Step Down', 'Travel RN', 'Traveler Step Down RN']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH), Advanced Cardiovascular Life Support (ACLS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
5.35 /hr","Reward Rate:
USD
$
5.35 /hr"
Ascension Health,RN Medical/Surgical,ASC-8221|AH-HHC-25894,onsite,"['Department: Medical Surgical 11 West', 'Shift Timing: Night Shift 18:30 - 07:00']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'RN Medical / Surgical', 'Registered Nurse > Registered Nurse Nursing']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Licensed Registered Nurse credentialed from the Tennessee Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
4.98 /hr","Reward Rate:
USD
$
4.98 /hr"
Ascension Health,Registered Respiratory Therapist,ASC-8186|AH-HHC-28036,onsite,"['Department: Respiratory Therapy', 'Shift Timings: Night Shift 18:00 - 06:30']","['Assess patient for appropriate type and frequency of treatment and develops a plan of care based on diagnosis.', 'Implement and monitor patient care plan and equipment.', 'Monitor, record and communicate patient condition.', 'Perform advanced respiratory care modalities.', 'Evaluate respiratory practice, administration of medications, and treatment based on patient outcome.', 'Educate the patient and family about the health condition and provides information about community support groups and other available programs.', 'Respond to emergency resuscitation team code.']","['Registered Respiratory Therapist (RRT)', 'Traveler Registered Respiratory Therapist']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS) Certification , Pediatric Advanced Life Support (PALS) Certification, Neonatal Resuscitation Program (NRP) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
4.67 /hr","Reward Rate:
USD
$
4.67 /hr"
Ascension Health,RN Medical/Surgical,ASC-8968|AH-HHC-49793,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Med Surg 5E', 'Shift Timing: 18:45 - 07:15']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'RN Medical / Surgical', 'Registered Nurse > Registered Nurse Nursing']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Licensed Registered Nurse credentialed from the Tennessee Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN-PCU,ASC-8170|AH-HHC-13590,onsite,"['Department: Stepdown Intermediate Care', 'Shift Timings: Night shift 18:45 - 07:15']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN PCU', 'Travel RN', 'Travel RN PCU']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Licensed Registered Nurse credentialed from the Wisconsin Board of Nursing required, Advanced Cardiovascular Life Support (ACLS), Ascension Crisis Prevention Intervention (CPI)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN CRCU/ICU,ASC-8158|AH-HHC-79671,onsite,"['Department: Nurse Staffing', 'Shift Timings: Night Shift 19:00 - 07:30 Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['ICU RN', 'Registered Nurse - ICU Intensive Care Unit', 'Traveler ICU RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen",,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
Ascension Health,RN Medical/Surgical,ASC-8970|AH-HHC-14820,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Observation Unit', 'Shift Timing: 18:45 - 07:15']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'RN Medical / Surgical', 'Registered Nurse > Registered Nurse Nursing']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Licensed Registered Nurse credentialed from the Tennessee Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
